beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
-1,-1,0.5,0,110,"GEV(1, 1)",0.509445455,0.040789507,0.995014955,0.444,0.051,2,2,1,998,3,508,45,444,3,599,347,51
-1,-1,0.5,-0.1,110,"GEV(1, 1)",0.512427273,0.041369329,0.997,0.439,0.061,0,3,0,997,1,508,52,439,1,594,344,61
-1,-1,0.5,-0.2,110,"GEV(1, 1)",0.518627273,0.036610875,0.998,0.435,0.049,2,0,0,998,2,499,64,435,2,587,362,49
-1,-1,0.5,0.1,110,"GEV(1, 1)",0.519645455,0.038634592,0.998,0.518,0.078,2,0,0,998,2,450,30,518,2,600,320,78
-1,-1,0.5,0.2,110,"GEV(1, 1)",0.511245455,0.034064546,0.996011964,0.511,0.107,2,1,1,999,2,458,29,511,2,612,279,107
-1,-2,0.5,0,110,"GEV(1, 1)",0.512018182,0.00605815,0.979,0.523,0.217,8,12,1,979,14,462,1,523,16,755,12,217
-1,-2,0.5,-0.1,110,"GEV(1, 1)",0.513254545,0.007338598,0.974,0.512,0.2,15,11,0,974,19,469,0,512,21,761,18,200
-1,-2,0.5,-0.2,110,"GEV(1, 1)",0.5087,0.004495003,0.985,0.504,0.214,8,7,0,985,11,485,0,504,14,757,15,214
-1,-2,0.5,0.1,110,"GEV(1, 1)",0.515509091,0.00579303,0.977,0.515,0.241,14,9,0,977,20,465,0,515,21,731,7,241
-1,-2,0.5,0.2,110,"GEV(1, 1)",0.503854545,0.002132233,0.994,0.62,0.282,0,6,0,994,2,378,0,620,2,711,5,282
-1,-4,0.5,0,110,"GEV(1, 1)",0.500418182,0.000119614,0.998,0.556,0.27,0,2,0,998,0,444,0,556,0,730,0,270
-1,-4,0.5,-0.1,110,"GEV(1, 1)",0.500181818,8.24E-06,1,0.545,0.258,0,0,0,1000,0,455,0,545,0,742,0,258
-1,-4,0.5,-0.2,110,"GEV(1, 1)",0.500045455,7.69E-06,1,0.544,0.25,0,0,0,1000,0,456,0,544,0,750,0,250
-1,-4,0.5,0.1,110,"GEV(1, 1)",0.500272727,0.000165877,0.999,0.551,0.267,0,1,0,999,0,449,0,551,0,733,0,267
-1,-4,0.5,0.2,110,"GEV(1, 1)",0.500045455,0.000241148,0.997,0.631,0.35,0,3,0,997,0,369,0,631,0,650,0,350
-1,0,0,0,110,"GEV(1, 0)",NA,NA,0,0.131,0.534,0,1,0,999,11,441,131,417,182,239,534,45
-1,0,0,-0.1,110,"GEV(1, 0)",NA,NA,0,0.143,0.545,0,0,0,1000,14,483,143,360,181,230,545,44
-1,0,0,-0.2,110,"GEV(1, 0)",NA,NA,0,0.144,0.531,0,0,0,1000,18,464,144,374,212,221,531,36
-1,0,0,0.1,110,"GEV(1, 0)",NA,NA,0,0.149,0.562,0,0,0,1000,7,428,149,416,139,249,562,50
-1,0,0,0.2,110,"GEV(1, 0)",NA,NA,0,0.139,0.599,0,0,0,1000,10,383,139,468,99,235,599,67
-1,1,0.5,0,110,"GEV(1, 1)",0.488245455,0.040368066,1,0.719,0.225,0,0,0,1000,36,240,5,719,479,250,46,225
-1,1,0.5,-0.1,110,"GEV(1, 1)",0.483072727,0.037645659,1,0.71,0.229,0,0,0,1000,54,227,9,710,500,237,34,229
-1,1,0.5,-0.2,110,"GEV(1, 1)",0.495990909,0.037488937,1,0.705,0.202,0,0,0,1000,52,236,7,705,516,241,41,202
-1,1,0.5,0.1,110,"GEV(1, 1)",0.479081818,0.035649236,1,0.731,0.26,0,0,0,1000,36,230,3,731,451,244,45,260
-1,1,0.5,0.2,110,"GEV(1, 1)",0.468090909,0.031874345,1,0.733,0.283,0,0,0,1000,24,236,7,733,423,247,47,283
-1,2,0.5,0,110,"GEV(1, 1)",0.496790909,0.002327318,0.993,0.588,0.298,0,7,0,993,1,411,0,588,4,696,2,298
-1,2,0.5,-0.1,110,"GEV(1, 1)",0.494209091,0.002184931,0.995,0.578,0.287,0,5,0,995,0,422,0,578,3,709,1,287
-1,2,0.5,-0.2,110,"GEV(1, 1)",0.500445455,0.001855293,1,0.577,0.3,0,0,0,1000,0,423,0,577,0,699,1,300
-1,2,0.5,0.1,110,"GEV(1, 1)",0.495890909,0.001184465,0.999,0.603,0.311,0,1,0,999,0,397,0,603,0,688,1,311
-1,2,0.5,0.2,110,"GEV(1, 1)",0.495536364,0.000501983,0.999,0.636,0.31,0,1,0,999,0,364,0,636,0,690,0,310
-1,4,0.5,0,110,"GEV(1, 1)",0.504854545,0.003826872,0.973,0.536,0.263,2,25,0,973,4,460,0,536,6,731,0,263
-1,4,0.5,-0.1,110,"GEV(1, 1)",0.499690909,0.001633604,0.985,0.545,0.25,1,14,0,985,1,454,0,545,1,749,0,250
-1,4,0.5,-0.2,110,"GEV(1, 1)",0.4995,4.88E-05,0.998,0.532,0.265,0,2,0,998,0,468,0,532,1,734,0,265
-1,4,0.5,0.1,110,"GEV(1, 1)",0.510027273,0.005643031,0.958,0.544,0.262,0,42,0,958,0,456,0,544,1,736,1,262
-1,4,0.5,0.2,110,"GEV(1, 1)",0.505945455,0.002929399,0.976,0.629,0.346,1,23,0,976,1,370,0,629,1,653,0,346
-2,-1,0.5,0,110,"GEV(1, 1)",0.5315,0.04395559,0.974,0.843,0.26,13,13,0,974,19,89,49,843,20,242,478,260
-2,-1,0.5,-0.1,110,"GEV(1, 1)",0.529663636,0.040866472,0.979,0.841,0.248,7,14,0,979,14,83,62,841,15,246,491,248
-2,-1,0.5,-0.2,110,"GEV(1, 1)",0.507272727,0.035149033,0.986,0.813,0.214,4,10,0,986,5,110,72,813,6,268,512,214
-2,-1,0.5,0.1,110,"GEV(1, 1)",0.524154545,0.038510688,0.991,0.894,0.326,5,4,0,991,8,63,35,894,8,201,465,326
-2,-1,0.5,0.2,110,"GEV(1, 1)",0.516045455,0.032686387,0.997,0.913,0.411,3,0,0,997,3,47,37,913,3,163,423,411
-2,-2,0.5,0,110,"GEV(1, 1)",0.511336364,0.006842875,0.977,0.92,0.751,12,11,0,977,17,63,0,920,18,222,9,751
-2,-2,0.5,-0.1,110,"GEV(1, 1)",0.5104,0.0044285,0.989,0.92,0.725,10,1,0,989,10,70,0,920,10,252,13,725
-2,-2,0.5,-0.2,110,"GEV(1, 1)",0.503672727,0.002556175,0.995,0.92,0.732,5,0,0,995,5,75,0,920,5,244,19,732
-2,-2,0.5,0.1,110,"GEV(1, 1)",0.508309091,0.00631132,0.983,0.943,0.799,7,9,1,983,10,46,1,943,10,178,13,799
-2,-2,0.5,0.2,110,"GEV(1, 1)",0.502845455,0.002862121,0.995,0.967,0.846,1,4,0,995,1,32,0,967,1,144,9,846
-2,-4,0.5,0,110,"GEV(1, 1)",0.500463636,7.66E-05,1,0.937,0.769,0,0,0,1000,0,63,0,937,0,231,0,769
-2,-4,0.5,-0.1,110,"GEV(1, 1)",0.500309091,6.36E-06,1,0.938,0.769,0,0,0,1000,0,62,0,938,0,231,0,769
-2,-4,0.5,-0.2,110,"GEV(1, 1)",0.499963636,5.79E-06,1,0.924,0.774,0,0,0,1000,0,76,0,924,0,226,0,774
-2,-4,0.5,0.1,110,"GEV(1, 1)",0.500909091,5.43E-05,1,0.951,0.834,0,0,0,1000,0,49,0,951,0,166,0,834
-2,-4,0.5,0.2,110,"GEV(1, 1)",0.501145455,1.44E-05,1,0.957,0.831,0,0,0,1000,0,43,0,957,0,169,0,831
-2,0,0,0,110,"GEV(1, 0)",NA,NA,0,0.244,0.818,0,0,0,1000,0,149,244,607,0,111,818,71
-2,0,0,-0.1,110,"GEV(1, 0)",NA,NA,0,0.25,0.823,0,0,0,1000,0,143,250,607,0,109,823,68
-2,0,0,-0.2,110,"GEV(1, 0)",NA,NA,0,0.253,0.804,0,0,0,1000,0,168,253,579,0,128,804,68
-2,0,0,0.1,110,"GEV(1, 0)",NA,NA,0,0.239,0.822,0,0,0,1000,0,115,239,646,0,100,822,78
-2,0,0,0.2,110,"GEV(1, 0)",NA,NA,0,0.212,0.811,0,0,0,1000,0,75,212,713,0,78,811,111
-2,1,0.5,0,110,"GEV(1, 1)",0.485218182,0.036280423,1,0.696,0.271,0,0,0,1000,35,256,13,696,492,166,71,271
-2,1,0.5,-0.1,110,"GEV(1, 1)",0.502036364,0.039481616,1,0.678,0.265,0,0,0,1000,40,274,8,678,471,174,90,265
-2,1,0.5,-0.2,110,"GEV(1, 1)",0.492381818,0.033571899,1,0.682,0.256,0,0,0,1000,37,269,12,682,489,183,72,256
-2,1,0.5,0.1,110,"GEV(1, 1)",0.475609091,0.035345636,1,0.71,0.301,0,0,0,1000,35,240,15,710,467,164,68,301
-2,1,0.5,0.2,110,"GEV(1, 1)",0.477654545,0.03765503,1,0.75,0.356,0,0,0,1000,20,220,10,750,418,160,66,356
-2,2,0.5,0,110,"GEV(1, 1)",0.498281818,0.001716368,0.999,0.962,0.825,0,1,0,999,0,38,0,962,7,167,1,825
-2,2,0.5,-0.1,110,"GEV(1, 1)",0.498390909,0.002235431,0.999,0.962,0.801,0,1,0,999,0,38,0,962,7,191,1,801
-2,2,0.5,-0.2,110,"GEV(1, 1)",0.498463636,0.002143998,1,0.947,0.809,0,0,0,1000,0,53,0,947,11,179,1,809
-2,2,0.5,0.1,110,"GEV(1, 1)",0.495345455,0.000850094,1,0.973,0.859,0,0,0,1000,0,27,0,973,5,136,0,859
-2,2,0.5,0.2,110,"GEV(1, 1)",0.494745455,0.000835539,1,0.976,0.874,0,0,0,1000,0,24,0,976,2,124,0,874
-2,4,0.5,0,110,"GEV(1, 1)",0.495,0.001588324,0.963,0.906,0.765,2,34,1,963,4,89,1,906,8,226,1,765
-2,4,0.5,-0.1,110,"GEV(1, 1)",0.496636364,0.000659593,0.976,0.933,0.768,1,22,1,976,3,63,1,933,5,226,1,768
-2,4,0.5,-0.2,110,"GEV(1, 1)",0.498754545,0.000329439,0.988,0.924,0.763,0,12,0,988,0,76,0,924,1,236,0,763
-2,4,0.5,0.1,110,"GEV(1, 1)",0.495045455,0.002841021,0.971,0.925,0.792,4,25,0,971,5,70,0,925,7,201,0,792
-2,4,0.5,0.2,110,"GEV(1, 1)",0.498972727,0.001787923,0.983,0.949,0.843,2,15,0,983,3,48,0,949,4,153,0,843
-4,-1,0.5,0,110,"GEV(1, 1)",0.529909091,0.045430381,0.962,0.918,0.501,24,13,1,962,28,9,45,918,30,8,461,501
-4,-1,0.5,-0.1,110,"GEV(1, 1)",0.516145455,0.047961832,0.974,0.929,0.473,13,13,0,974,17,9,45,929,18,8,501,473
-4,-1,0.5,-0.2,110,"GEV(1, 1)",0.514245455,0.040439242,0.992,0.941,0.47,5,3,0,992,6,2,51,941,6,3,521,470
-4,-1,0.5,0.1,110,"GEV(1, 1)",0.530027273,0.041312982,0.97,0.937,0.534,12,18,0,970,16,14,33,937,19,12,435,534
-4,-1,0.5,0.2,110,"GEV(1, 1)",0.519409091,0.035831764,0.994,0.959,0.569,2,4,0,994,3,3,35,959,3,3,425,569
-4,-2,0.5,0,110,"GEV(1, 1)",0.5003,0.003469082,0.997,0.997,0.983,1,2,0,997,1,2,0,997,1,2,14,983
-4,-2,0.5,-0.1,110,"GEV(1, 1)",0.502309091,0.002139783,0.997,0.997,0.978,1,2,0,997,1,2,0,997,1,2,19,978
-4,-2,0.5,-0.2,110,"GEV(1, 1)",0.502645455,0.001599312,1,1,0.986,0,0,0,1000,0,0,0,1000,0,0,14,986
-4,-2,0.5,0.1,110,"GEV(1, 1)",0.496572727,0.002924815,0.998,0.997,0.99,0,2,0,998,0,3,0,997,0,4,6,990
